codigo_cbo,descricao
142105,Gerente administrativo
241005,Advogado
142305,Gerente de recursos humanos
212405,Analista de tecnologia da informação
214205,Engenheiro civil
223505,Enfermeiro
225125,Médico clínico
252105,Administrador
252210,Contador
317110,Programador de sistemas de informação
351305,Técnico de contabilidade
391205,Técnico de planejamento e controle de produção
411005,Auxiliar de escritório
411010,Assistente administrativo
413110,Auxiliar de contabilidade
422105,Recepcionista
521110,Vendedor de comércio varejista
521135,Promotor de vendas
422205,Atendente de telemarketing
782510,Motorista de caminhão
514320,Faxineiro
411030,Auxiliar de recursos humanos
