codigo,descricao,secao,divisao,grupo,classe
0111301,"Cultivo de arroz",A,01,011,01113
0111302,"Cultivo de milho",A,01,011,01113
0111303,"Cultivo de trigo",A,01,011,01113
0111399,"Cultivo de outros cereais não especificados anteriormente",A,01,011,01113
0112101,"Cultivo de algodão herbáceo",A,01,011,01121
0112102,"Cultivo de juta",A,01,011,01121
0112199,"Cultivo de outras fibras de lavoura temporária não especificadas anteriormente",A,01,011,01121
0113000,"Cultivo de cana de açúcar",A,01,011,01130
0114800,"Cultivo de fumo",A,01,011,01148
0115600,"Cultivo de soja",A,01,011,01156
0116401,"Cultivo de amendoim",A,01,011,01164
0116402,"Cultivo de girassol",A,01,011,01164
0116403,"Cultivo de mamona",A,01,011,01164
0116499,"Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente",A,01,011,01164
0119901,"Cultivo de abacaxi",A,01,011,01199
0119902,"Cultivo de alho",A,01,011,01199
0119903,"Cultivo de batata inglesa",A,01,011,01199
0119904,"Cultivo de cebola",A,01,011,01199
0119905,"Cultivo de feijão",A,01,011,01199
0119906,"Cultivo de mandioca",A,01,011,01199
0119907,"Cultivo de melão",A,01,011,01199
0119908,"Cultivo de melancia",A,01,011,01199
0119909,"Cultivo de tomate rasteiro",A,01,011,01199
0119999,"Cultivo de outras plantas de lavoura temporária não especificadas anteriormente",A,01,011,01199
0121101,"Horticultura, exceto morango",A,01,012,01211
0121102,"Cultivo de morango",A,01,012,01211
0122900,"Cultivo de flores e plantas ornamentais",A,01,012,01229
0131800,"Cultivo de laranja",A,01,013,01318
0132600,"Cultivo de uva",A,01,013,01326
0133401,"Cultivo de açaí",A,01,013,01334
0133402,"Cultivo de banana",A,01,013,01334
0133403,"Cultivo de caju",A,01,013,01334
0133404,"Cultivo de cítricos, exceto laranja",A,01,013,01334
0133405,"Cultivo de coco da baía",A,01,013,01334
0133406,"Cultivo de guaraná",A,01,013,01334
0133407,"Cultivo de maçã",A,01,013,01334
0133408,"Cultivo de mamão",A,01,013,01334
0133409,"Cultivo de maracujá",A,01,013,01334
0133410,"Cultivo de manga",A,01,013,01334
0133411,"Cultivo de pêssego",A,01,013,01334
0133499,"Cultivo de frutas de lavoura permanente não especificadas anteriormente",A,01,013,01334
0134200,"Cultivo de café",A,01,013,01342
0135100,"Cultivo de cacau",A,01,013,01351
0139301,"Cultivo de chá da índia",A,01,013,01393
0139302,"Cultivo de erva mate",A,01,013,01393
0139303,"Cultivo de pimenta do reino",A,01,013,01393
0139304,"Cultivo de plantas para condimento, exceto pimenta do reino",A,01,013,01393
0139305,"Cultivo de dendê",A,01,013,01393
0139306,"Cultivo de seringueira",A,01,013,01393
0139399,"Cultivo de outras plantas de lavoura permanente não especificadas anteriormente",A,01,013,01393
0141501,"Produção de sementes certificadas, exceto de forrageiras para pasto",A,01,014,01415
0141502,"Produção de sementes certificadas de forrageiras para formação de pasto",A,01,014,01415
0142300,"Produção de mudas e outras formas de propagação vegetal, certificadas",A,01,014,01423
0151201,"Criação de bovinos para corte",A,01,015,01512
0151202,"Criação de bovinos para leite",A,01,015,01512
0151203,"Criação de bovinos, exceto para corte e leite",A,01,015,01512
0152101,"Criação de bufalinos",A,01,015,01521
0152102,"Criação de eqüinos",A,01,015,01521
0152103,"Criação de asininos e muares",A,01,015,01521
0153901,"Criação de caprinos",A,01,015,01539
0153902,"Criação de ovinos, inclusive para produção de lã",A,01,015,01539
0154700,"Criação de suínos",A,01,015,01547
0155501,"Criação de frangos para corte",A,01,015,01555
0155502,"Produção de pintos de um dia",A,01,015,01555
0155503,"Criação de outros galináceos, exceto para corte",A,01,015,01555
0155504,"Criação de aves, exceto galináceos",A,01,015,01555
0155505,"Produção de ovos",A,01,015,01555
0159801,Apicultura,A,01,015,01598
0159802,"Criação de animais de estimação",A,01,015,01598
0159803,"Criação de escargô",A,01,015,01598
0159804,"Criação de bicho da seda",A,01,015,01598
0159899,"Criação de outros animais não especificados anteriormente",A,01,015,01598
0161001,"Serviço de pulverização e controle de pragas agrícolas",A,01,016,01610
0161002,"Serviço de poda de árvores para lavouras",A,01,016,01610
0161003,"Serviço de preparação de terreno, cultivo e colheita",A,01,016,01610
0161099,"Atividades de apoio à agricultura não especificadas anteriormente",A,01,016,01610
0162801,"Serviço de inseminação artificial de animais",A,01,016,01628
0162802,"Serviço de tosquiamento de ovinos",A,01,016,01628
0162803,"Serviço de manejo de animais",A,01,016,01628
0162899,"Atividades de apoio à pecuária não especificadas anteriormente",A,01,016,01628
0163600,"Atividades de pós colheita",A,01,016,01636
0170900,"Caça e serviços relacionados",A,01,017,01709
0210101,"Cultivo de eucalipto",A,02,021,02101
0210102,"Cultivo de acácia negra",A,02,021,02101
0210103,"Cultivo de pinus",A,02,021,02101
0210104,"Cultivo de teca",A,02,021,02101
0210105,"Cultivo de espécies madeireiras, exceto eucalipto, acácia negra, pinus e teca",A,02,021,02101
0210106,"Cultivo de mudas em viveiros florestais",A,02,021,02101
0210107,"Extração de madeira em florestas plantadas",A,02,021,02101
0210108,"Produção de carvão vegetal - florestas plantadas",A,02,021,02101
0210109,"Produção de casca de acácia negra - florestas plantadas",A,02,021,02101
0210199,"Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas",A,02,021,02101
0220901,"Extração de madeira em florestas nativas",A,02,022,02209
0220902,"Produção de carvão vegetal - florestas nativas",A,02,022,02209
0220903,"Coleta de castanha do pará em florestas nativas",A,02,022,02209
0220904,"Coleta de látex em florestas nativas",A,02,022,02209
0220905,"Coleta de palmito em florestas nativas",A,02,022,02209
0220906,"Conservação de florestas nativas",A,02,022,02209
0220999,"Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas",A,02,022,02209
0230600,"Atividades de apoio à produção florestal",A,02,023,02306
0311601,"Pesca de peixes em água salgada",A,03,031,03116
0311602,"Pesca de crustáceos e moluscos em água salgada",A,03,031,03116
0311603,"Coleta de outros produtos marinhos",A,03,031,03116
0311604,"Atividades de apoio à pesca em água salgada",A,03,031,03116
0312401,"Pesca de peixes em água doce",A,03,031,03124
0312402,"Pesca de crustáceos e moluscos em água doce",A,03,031,03124
0312403,"Coleta de outros produtos aquáticos de água doce",A,03,031,03124
0312404,"Atividades de apoio à pesca em água doce",A,03,031,03124
0321301,"Criação de peixes em água salgada e salobra",A,03,032,03213
0321302,"Criação de camarões em água salgada e salobra",A,03,032,03213
0321303,"Criação de ostras e mexilhões em água salgada e salobra",A,03,032,03213
0321304,"Criação de peixes ornamentais em água salgada e salobra",A,03,032,03213
0321305,"Atividades de apoio à aqüicultura em água salgada e salobra",A,03,032,03213
0321399,"Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente",A,03,032,03213
0322101,"Criação de peixes em água doce",A,03,032,03221
0322102,"Criação de camarões em água doce",A,03,032,03221
0322103,"Criação de ostras e mexilhões em água doce",A,03,032,03221
0322104,"Criação de peixes ornamentais em água doce",A,03,032,03221
0322105,Ranicultura,A,03,032,03221
0322106,"Criação de jacaré",A,03,032,03221
0322107,"Atividades de apoio à aqüicultura em água doce",A,03,032,03221
0322199,"Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente",A,03,032,03221
0500301,"Extração de carvão mineral",B,05,050,05003
0500302,"Beneficiamento de carvão mineral",B,05,050,05003
0600001,"Extração de petróleo e gás natural",B,06,060,06000
0600002,"Extração e beneficiamento de xisto",B,06,060,06000
0600003,"Extração e beneficiamento de areias betuminosas",B,06,060,06000
0710301,"Extração de minério de ferro",B,07,071,07103
0710302,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",B,07,071,07103
0721901,"Extração de minério de alumínio",B,07,072,07219
0721902,"Beneficiamento de minério de alumínio",B,07,072,07219
0722701,"Extração de minério de estanho",B,07,072,07227
0722702,"Beneficiamento de minério de estanho",B,07,072,07227
