ispb,codigo_compe,nome,nome_completo
00000000,001,"BCO DO BRASIL S.A.","Banco do Brasil S.A."
00000208,070,"BRB - BCO DE BRASILIA S.A.","BRB - BANCO DE BRASILIA S.A."
00038121,,Selic,"Banco Central do Brasil - Selic"
00038166,,Bacen,"Banco Central do Brasil"
00122327,539,"SANTINVEST S.A. - CFI","SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
00204963,430,"CCR SEARA","COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA"
00250699,272,"AGK CC S.A.","AGK CORRETORA DE CAMBIO S.A."
00315557,136,"UNICRED DO BRASIL","COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL"
00329598,407,"SEFER INVESTIMENTOS DTVM LTDA","SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
00360305,104,"CAIXA ECONOMICA FEDERAL","CAIXA ECONOMICA FEDERAL"
00394460,,STN,"Secretaria do Tesouro Nacional - STN"
00411939,714,"FINAMAX S.A. CFI","FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
00416968,077,"BANCO INTER","Banco Inter S.A."
00460065,423,"COLUNA S.A. DTVM","COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS"
00517645,741,"BCO RIBEIRAO PRETO S.A.","BANCO RIBEIRAO PRETO S.A."
00556603,330,"BANCO BARI S.A.","BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A."
00714671,534,"EWALLY IP S.A.","EWALLY INSTITUIÇÃO DE PAGAMENTO S.A."
00795423,743,"BANCO SEMEAR","Banco Semear S.A."
00806535,100,"PLANNER CV S.A.","Planner Corretora de Valores S.A."
00954288,541,"FDO GARANTIDOR CRÉDITOS","FUNDO GARANTIDOR DE CREDITOS - FGC"
00997185,096,"BCO B3 S.A.","Banco B3 S.A."
01023570,747,"BCO RABOBANK INTL BRASIL S.A.","Banco Rabobank International Brasil S.A."
01027058,362,"CIELO IP S.A.","CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO"
01073966,322,"CCR DE ABELARDO LUZ","Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz"
01181521,748,"BCO COOPERATIVO SICREDI S.A.","BANCO COOPERATIVO SICREDI S.A."
01330387,350,"COOPERATIVA DE CRÉDITO POPULAR DO BRASIL","COOPERATIVA DE CRÉDITO POPULAR DO BRASIL - CREHNOR"
01522368,752,"BCO BNP PARIBAS BRASIL S A","Banco BNP Paribas Brasil S.A."
01658426,379,"COOP COOPERFORTE LTDA.","COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA"
01701201,399,"Kirton Bank","Kirton Bank S.A. - Banco Múltiplo"
01852137,378,"BCO BRASILEIRO DE CRÉDITO S.A.","BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA"
01858774,413,"BCO BV S.A.","BANCO BV S.A."
02038232,756,"BANCO SICOOB S.A.","BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB"
02276653,360,"TRINUS CAPITAL DTVM","TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
02318507,757,"BCO KEB HANA DO BRASIL S.A.","BANCO KEB HANA DO BRASIL S.A."
02332886,102,"XP INVESTIMENTOS CCTVM S/A","XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A"
02398976,084,"SISPRIME DO BRASIL - COOP","SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO"
02671743,591,"BANVOX DTVM","BANVOX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
02682287,555,"PAN FINAN","PAN FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
02685483,180,"CM CAPITAL MARKETS CCTVM LTDA","CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA"
02801938,066,"BCO MORGAN STANLEY S.A.","BANCO MORGAN STANLEY S.A."
02819125,015,"UBS BB CCTVM S.A.","UBS BB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A."
02992317,143,"INTEX BANK BCO DE CÂMBIO S.A.","INTEX BANK BANCO DE CÂMBIO S.A."
02992335,,"CIP SA Siloc","CIP S.A"
